country,issuing_authority_en,issuing_authority_ar,date_gregorian,title_extracted,source_url,local_filename,sha256,pages_total,retrieved_at_utc
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-01-03,دئاقعلا نم هتفرعم ملسلما ىلع بيج امو نتاداهشلا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/سلسلة_أركان_الإسلام_الشهادتان_3-1-2025.pdf,pdfs/2025-01-03 - دئاقعلا نم هتفرعم ملسلما ىلع بيج امو نتاداهشلا.pdf,feadf453451ccb162df4054fa187235f515aa3292996b6ba04e5c26aa733f755,12,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-01-10,ةبطلخا روامح,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_أسرار_الطهار_والصلاة_10-1-2025.pdf,pdfs/2025-01-10 - ةبطلخا روامح.pdf,fb79baeae7c8b6003f80450fc4508f870aaeff7056149f52ddcc41ef6c6aa18e,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-01-17,اهرارسأو ةلاصلا ناكرأ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/أركان_الصلاة_وأسرارها_17-1-2025.pdf,pdfs/2025-01-17 - اهرارسأو ةلاصلا ناكرأ.pdf,761bc0ad39114c90c35f421f87a15eeb7022e1399344f8174a973d4d5c9ea549,13,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-01-24,جارعلماو ءارسلإا ىركذ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_الإسراء_والمعراج_24-1-2025.pdf,pdfs/2025-01-24 - جارعلماو ءارسلإا ىركذ.pdf,fb4eff5a612a55baca93843117c775781d98688d5b4bec89539fa072b297c749,12,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-01-31,ءاعدلا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_الدعاء_31-1-2025.pdf,pdfs/2025-01-31 - ءاعدلا.pdf,7ed3a27a9cad6747aabe4dd3f7947a72704fcfafa2aac6b6e914b94044ec687c,9,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-02-07,هنم فصنلا ةليلو نابعش لضف,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/فضل_شهر_شعبان_وليلة_النصف_منه_7-2-2025.pdf,pdfs/2025-02-07 - هنم فصنلا ةليلو نابعش لضف.pdf,a203acc8e7d94ec6f3ada45ceaa1f6deabb323c18f55a024844905c12f827369,10,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-02-14,صلاخلإا ةروس لضف,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/فضل_سورة_الإخلاص_14-2-2025.pdf,pdfs/2025-02-14 - صلاخلإا ةروس لضف.pdf,270c52e85a17e84ebce19b5b60129e962465fae60f2b857287fcff3ddc8ba466,9,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-02-21,ءاسلماو حابصلا راكذأو ليللا مايق,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_قيام_الليل_وأذكار_الصباح_والمساء_21-2-2025.pdf,pdfs/2025-02-21 - ءاسلماو حابصلا راكذأو ليللا مايق.pdf,86ba0c0bf30fa2022342a1d9cb06633c28322f934ee1be9b266c2989f9a91d25,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-02-28,مايصلا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_الصيام_28-2-2025.pdf,pdfs/2025-02-28 - مايصلا.pdf,8f69657d90c769bab620f0a64edad9c2c7aa066906e93a065422dd7029b7256e,9,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-03-07,رطفلا ةاكزو ةاكزلا لضف,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/فضل_الزكاة_7-3-2025.pdf,pdfs/2025-03-07 - رطفلا ةاكزو ةاكزلا لضف.pdf,d30fc9a5f565e3594c6b596548c7f66abb04196d6bb98361f8066051180dc621,9,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-03-14,ركذلاو للذتلاو برصلا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/معركة_بدر_وشروط_النصر_14-3-2025.pdf,pdfs/2025-03-14 - ركذلاو للذتلاو برصلا.pdf,8915861c381c10977e6b71d190e456f01daefad7cb05ea85045882f2a9ce5ab8,9,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-03-21,ردقلا ةليلو رخاولأا رشعلا لضف,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/العشرة_الأواخر_21-3-2025.pdf,pdfs/2025-03-21 - ردقلا ةليلو رخاولأا رشعلا لضف.pdf,2517fadaf13e4b6f59a0c6baef9dd5c0eedaa18eee697aba4b5a2f46d43da1e1,9,2026-02-09T20:28:38Z
